,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
1,2020,Data Scientist,MI,FT,"63,52,272.00",DE,DE,L,0
2,2020,Machine Learning Scientist,SE,FT,"2,06,88,070.00",JP,JP,S,0
3,2020,Big Data Engineer,SE,FT,"86,74,985.00",GB,GB,M,50
4,2020,Product Data Analyst,MI,FT,"15,91,390.00",HN,HN,S,0
5,2020,Machine Learning Engineer,SE,FT,"1,19,35,425.00",US,US,L,50
6,2020,Data Analyst,EN,FT,"57,29,004.00",US,US,L,100
7,2020,Lead Data Scientist,SE,FT,"1,51,18,205.00",US,US,S,100
8,2020,Data Scientist,MI,FT,"28,43,416.00",HU,HU,L,50
9,2020,Business Data Analyst,MI,FT,"1,07,41,883.00",US,US,L,100
10,2020,Lead Data Engineer,SE,FT,"99,46,188.00",NZ,NZ,S,50
11,2020,Data Scientist,EN,FT,"40,83,586.00",FR,FR,S,0
12,2020,Data Scientist,MI,FT,"32,21,053.00",IN,IN,L,0
13,2020,Data Scientist,EN,FT,"31,76,096.00",FR,FR,M,0
14,2020,Lead Data Analyst,MI,FT,"69,22,547.00",US,US,L,100
15,2020,Data Analyst,MI,FT,"67,63,408.00",US,US,L,100
16,2020,Data Analyst,MI,FT,"6,36,556.00",PK,PK,L,50
17,2020,Data Engineer,EN,FT,"33,17,173.00",JP,JP,S,100
18,2020,Big Data Engineer,SE,FT,"90,74,663.00",PL,GB,S,100
19,2020,Data Science Consultant,EN,FT,"4,54,103.00",IN,IN,M,50
20,2020,Lead Data Engineer,MI,FT,"44,55,892.00",PT,US,M,100
21,2020,Machine Learning Engineer,MI,FT,"34,47,826.00",CN,CN,M,0
22,2020,Product Data Analyst,MI,FT,"4,83,146.00",IN,IN,L,100
23,2020,Data Engineer,SE,FT,"38,11,299.00",GR,GR,L,50
24,2020,BI Data Analyst,MI,FT,"77,97,811.00",US,US,M,0
25,2020,Lead Data Scientist,MI,FT,"91,50,493.00",AE,AE,L,0
26,2020,Director of Data Science,EX,FT,"2,58,60,088.00",US,US,L,100
27,2020,Research Scientist,EN,FT,"33,41,919.00",NL,NL,L,50
28,2020,Data Engineer,SE,FT,"26,66,454.00",MX,MX,S,0
29,2020,Business Data Analyst,EN,CT,"79,56,950.00",US,US,L,100
30,2020,Machine Learning Manager,SE,FT,"93,17,907.00",CA,CA,L,50
31,2020,Data Engineering Manager,MI,FT,"47,18,710.00",DE,DE,S,100
32,2020,Big Data Engineer,EN,FT,"55,69,865.00",US,US,L,100
33,2020,Data Scientist,SE,FT,"54,44,782.00",GR,US,L,100
34,2020,Research Scientist,MI,FT,"3,58,06,275.00",US,US,M,0
35,2020,Data Analyst,MI,FT,"37,20,590.00",FR,FR,L,50
36,2020,Data Engineer,MI,FT,"58,98,487.00",AT,AT,L,50
37,2020,Data Science Consultant,MI,FT,"81,95,659.00",US,US,L,100
38,2020,Machine Learning Engineer,EN,FT,"1,98,92,375.00",US,US,L,50
39,2020,Data Analyst,EN,FT,"7,95,695.00",NG,NG,S,100
40,2020,Machine Learning Engineer,EN,FT,"1,09,80,591.00",US,US,S,100
41,2020,Data Scientist,MI,FT,"36,41,100.00",PH,US,S,100
42,2020,Data Engineering Manager,EX,FT,"63,52,272.00",ES,ES,L,50
43,2020,Machine Learning Infrastructure Engineer,MI,FT,"39,92,798.00",PT,PT,M,0
44,2020,Data Engineer,MI,FT,"84,34,367.00",US,US,L,100
45,2020,Data Engineer,MI,FT,"89,81,169.00",GB,GB,L,50
46,2020,ML Engineer,EN,PT,"12,70,407.00",DE,DE,S,100
47,2020,Data Scientist,MI,FT,"61,23,510.00",GB,GB,S,100
48,2020,Data Engineer,SE,FT,"1,49,59,066.00",US,US,L,100
49,2020,Data Scientist,MI,FT,"83,54,798.00",US,US,L,100
50,2020,Data Engineer,MI,FT,"55,80,925.00",FR,FR,L,50
51,2020,Data Analyst,EN,FT,"4,83,146.00",IN,IN,S,0
52,2020,Data Analyst,EN,FT,"72,40,825.00",US,US,L,100
53,2020,AI Scientist,EN,FT,"36,51,922.00",DK,DK,S,50
54,2020,Data Engineer,EN,FT,"43,55,794.00",PK,DE,L,100
55,2020,Computer Vision Engineer,SE,FL,"47,74,170.00",RU,US,S,100
56,2020,Principal Data Scientist,SE,FT,"1,17,97,054.00",DE,DE,M,100
57,2020,Data Scientist,MI,FT,"30,85,387.00",ES,ES,M,100
58,2020,Data Scientist,MI,FT,"93,89,201.00",US,US,M,100
59,2020,Data Scientist,SE,FT,"95,48,340.00",US,US,L,50
60,2020,Data Scientist,MI,FT,"1,10,08,440.00",US,US,M,100
61,2020,Data Engineer,MI,FT,"87,52,645.00",US,US,L,100
62,2020,Data Engineer,MI,FT,"1,04,07,691.00",ES,US,M,100
63,2020,Data Scientist,EN,PT,"17,24,191.00",IT,IT,S,50
64,2020,Data Scientist,SE,FT,"3,27,82,634.00",US,US,L,100
65,2020,Machine Learning Engineer,SE,FT,"36,29,801.00",HR,HR,S,100
66,2020,Data Scientist,EN,FT,"49,91,076.00",DE,DE,S,50
67,2020,Data Scientist,EN,FT,"39,20,230.00",DE,DE,S,0
68,2020,Data Science Manager,SE,FT,"1,51,34,119.00",US,US,M,100
69,2020,Data Scientist,EN,FT,"83,54,798.00",US,US,S,100
70,2020,Data Scientist,SE,FT,"72,59,682.00",AT,AT,S,0
71,2020,Data Scientist,MI,FT,"49,91,076.00",FR,LU,S,50
72,2020,Data Scientist,MI,FT,"33,57,594.00",FR,FR,S,50
73,2021,Research Scientist,EN,FT,"65,66,712.00",GB,GB,L,50
74,2021,BI Data Analyst,EX,FT,"1,19,35,425.00",IN,US,L,100
75,2021,Head of Data,EX,FT,"1,86,98,833.00",US,US,L,100
76,2021,Data Scientist,SE,FT,"42,32,461.00",FR,FR,L,50
77,2021,BI Data Analyst,MI,FT,"79,56,950.00",US,US,M,100
78,2021,3D Computer Vision Researcher,MI,PT,"4,30,391.00",IN,IN,M,50
79,2021,ML Engineer,MI,CT,"2,14,83,765.00",US,US,L,100
80,2021,Data Analyst,EN,FT,"63,65,560.00",US,US,M,100
81,2021,Data Analytics Engineer,SE,FT,"63,01,666.00",DE,DE,L,100
82,2021,Data Engineer,MI,FT,"1,11,39,730.00",US,US,L,100
83,2021,Applied Data Scientist,MI,FT,"43,15,691.00",GB,CA,L,50
84,2021,Machine Learning Engineer,MI,FT,"37,62,205.00",ES,ES,S,100
85,2021,Director of Data Science,EX,FT,"1,22,27,206.00",IT,PL,L,100
86,2021,Data Engineer,MI,FT,"22,65,821.00",PL,PL,L,100
87,2021,Data Analyst,EN,FT,"47,02,717.00",FR,FR,M,50
88,2021,Data Analytics Engineer,MI,FT,"87,52,645.00",US,US,L,100
89,2021,Lead Data Analyst,SE,FT,"1,35,26,815.00",US,US,L,100
90,2021,Data Analyst,SE,FT,"63,65,560.00",BG,US,S,100
91,2021,Marketing Data Analyst,SE,FT,"70,54,154.00",GR,DK,L,100
92,2021,Data Science Consultant,EN,FT,"61,13,563.00",DE,DE,S,100
93,2021,Lead Data Analyst,MI,FT,"15,60,278.00",IN,IN,L,100
94,2021,Lead Data Engineer,SE,FT,"2,19,61,182.00",US,US,L,0
95,2021,Data Scientist,EN,FT,"23,67,272.00",IN,IN,L,50
96,2021,Cloud Data Engineer,MI,FT,"71,05,079.00",SG,SG,L,50
97,2021,AI Scientist,EN,PT,"9,54,834.00",BR,US,S,100
98,2021,Financial Data Analyst,MI,FT,"3,58,06,275.00",US,US,L,100
99,2021,Computer Vision Software Engineer,EN,FT,"55,69,865.00",US,US,M,100
100,2021,Computer Vision Software Engineer,MI,FT,"76,18,461.00",DE,US,S,100
101,2021,Data Analyst,MI,FT,"59,67,713.00",US,US,L,0
102,2021,Data Engineer,SE,FT,"1,19,35,425.00",US,US,L,100
103,2021,BI Data Analyst,MI,FT,"28,85,111.00",HU,US,L,50
104,2021,Data Analyst,MI,FT,"49,33,309.00",US,US,L,0
105,2021,Data Scientist,MI,FT,"58,08,574.00",US,US,L,0
106,2021,Data Analyst,MI,FT,"40,99,341.00",GB,GB,L,50
107,2021,Research Scientist,MI,FT,"1,49,14,666.00",CA,CA,L,100
108,2021,Data Engineer,SE,FT,"91,50,493.00",US,US,S,100
109,2021,Data Engineer,SE,FT,"1,19,35,425.00",US,US,M,100
110,2021,Data Engineer,EN,FT,"24,21,141.00",IN,IN,L,100
111,2021,Machine Learning Engineer,SE,FT,"75,24,410.00",DE,DE,L,50
112,2021,Director of Data Engineering,SE,FT,"90,29,229.00",GB,GB,M,100
113,2021,Lead Data Engineer,SE,FT,"82,08,390.00",GB,GB,S,100
114,2021,AI Scientist,EN,PT,"9,54,834.00",PK,US,M,100
115,2021,Data Engineer,MI,FT,"36,11,739.00",NL,NL,L,100
116,2021,Machine Learning Scientist,EN,FT,"1,79,03,138.00",US,US,L,100
117,2021,Data Scientist,MI,FT,"39,78,475.00",NG,NG,L,100
118,2021,Data Science Engineer,MI,FT,"31,97,819.00",GR,GR,M,100
119,2021,Data Analyst,EN,FT,"71,61,255.00",US,US,S,100
120,2021,Data Engineer,MI,FT,"1,59,13,900.00",US,US,L,100
121,2021,Big Data Engineer,MI,FT,"47,74,170.00",ES,RO,M,50
122,2021,Principal Data Engineer,SE,FT,"1,59,13,900.00",US,US,M,100
123,2021,Data Analyst,EN,FT,"39,78,475.00",US,US,M,100
124,2021,Applied Data Scientist,EN,FT,"87,55,589.00",GB,GB,L,0
125,2021,Data Analyst,EN,PT,"8,23,863.00",ES,ES,M,50
126,2021,Principal Data Scientist,MI,FT,"1,20,14,995.00",US,US,L,100
127,2021,Machine Learning Scientist,SE,FT,"95,48,340.00",US,US,S,50
128,2021,Data Scientist,MI,FT,"7,53,205.00",IN,IN,S,0
129,2021,Machine Learning Engineer,EN,FT,"15,91,390.00",IN,IN,S,100
130,2021,Lead Data Scientist,SE,FT,"32,28,135.00",IN,IN,L,50
131,2021,Machine Learning Developer,EN,FT,"79,56,950.00",IQ,IQ,S,50
132,2021,Data Scientist,EN,FT,"39,50,307.00",FR,FR,M,50
133,2021,Applied Machine Learning Scientist,MI,FT,"30,55,469.00",VN,US,M,100
134,2021,Computer Vision Engineer,SE,FT,"19,09,668.00",BR,BR,M,100
135,2021,Data Scientist,EN,FT,"79,56,950.00",US,US,S,0
136,2021,Data Analyst,MI,FT,"71,61,255.00",US,US,M,100
137,2021,ML Engineer,MI,FT,"50,69,452.00",JP,JP,S,50
138,2021,ML Engineer,MI,FT,"61,55,815.00",JP,JP,S,50
139,2021,Principal Data Scientist,SE,FT,"1,75,05,290.00",US,US,L,0
140,2021,Data Scientist,EN,FT,"63,65,560.00",US,US,M,100
141,2021,Data Analyst,MI,FT,"1,07,41,883.00",US,US,L,100
142,2021,Data Science Manager,SE,FT,"1,90,96,680.00",US,US,L,0
143,2021,Data Engineering Manager,SE,FT,"1,19,35,425.00",US,US,L,0
144,2021,Data Scientist,MI,FT,"65,64,484.00",US,US,S,100
145,2021,Data Engineer,MI,FT,"79,56,950.00",US,US,L,100
146,2021,Machine Learning Engineer,SE,FT,"65,83,899.00",BE,BE,M,50
147,2021,Research Scientist,MI,FT,"49,84,950.00",FR,FR,M,50
148,2021,Data Engineer,MI,FT,"71,61,255.00",US,US,L,100
149,2021,Data Engineering Manager,SE,FT,"1,21,74,134.00",US,US,L,100
150,2021,Cloud Data Engineer,SE,FT,"1,27,31,120.00",BR,US,S,100
151,2021,Director of Data Science,SE,FT,"1,33,67,676.00",JP,JP,S,0
152,2021,Data Scientist,MI,FT,"1,19,35,425.00",US,US,M,100
153,2021,Data Scientist,MI,FT,"60,29,299.00",CA,CA,L,100
154,2021,Data Scientist,EN,FT,"10,66,231.00",UA,UA,L,100
155,2021,Data Science Manager,SE,FT,"1,14,58,008.00",US,US,L,100
156,2021,Data Science Engineer,SE,FT,"1,01,22,911.00",CA,CA,L,50
157,2021,Data Scientist,MI,FT,"94,73,465.00",SG,IL,M,100
158,2021,Applied Machine Learning Scientist,MI,FT,"3,36,57,899.00",US,US,L,50
159,2021,Data Analytics Manager,SE,FT,"95,48,340.00",US,US,M,100
160,2021,Machine Learning Engineer,EN,FT,"99,46,188.00",US,US,S,100
161,2021,Head of Data,EX,FT,"1,83,00,985.00",RU,RU,L,50
162,2021,Head of Data Science,EX,FT,"67,63,408.00",RU,RU,M,0
163,2021,Data Engineer,MI,FT,"22,57,307.00",MT,MT,L,50
164,2021,Data Science Consultant,EN,FT,"50,79,001.00",DE,DE,L,50
165,2021,Director of Data Science,EX,FT,"1,03,46,104.00",DE,DE,M,50
166,2021,Data Specialist,SE,FT,"1,31,28,968.00",US,US,L,100
167,2021,Data Engineer,EN,FT,"63,65,560.00",US,US,L,100
168,2021,Director of Data Science,EX,FT,"1,98,92,375.00",US,US,L,0
169,2021,BI Data Analyst,EN,FT,"43,76,323.00",US,US,S,50
170,2021,Data Architect,MI,FT,"1,19,35,425.00",US,US,L,100
171,2021,Data Architect,MI,FT,"1,35,26,815.00",US,US,L,100
172,2021,Data Engineer,MI,FT,"65,66,712.00",GB,GB,L,100
173,2021,Data Analyst,EN,FT,"47,74,170.00",US,US,S,100
174,2021,Principal Data Scientist,SE,FT,"1,86,98,833.00",US,US,L,100
175,2021,Research Scientist,SE,FT,"48,34,404.00",PT,PT,L,50
176,2021,Data Engineering Manager,SE,FT,"1,38,45,093.00",US,US,L,100
177,2021,Data Scientist,MI,FT,"2,27,489.00",MX,MX,S,0
178,2021,Data Scientist,MI,FT,"31,85,804.00",CL,CL,L,100
179,2021,Machine Learning Engineer,EN,FT,"64,45,130.00",US,US,S,50
180,2021,Data Scientist,MI,FT,"4,51,875.00",IN,US,S,100
181,2021,Big Data Engineer,MI,FT,"17,99,146.00",IN,IN,L,0
182,2021,Data Scientist,MI,FT,"72,19,659.00",DE,DE,L,50
183,2021,Data Engineer,MI,FT,"20,69,205.00",RO,US,L,0
184,2021,Finance Data Analyst,SE,FT,"49,25,034.00",GB,GB,L,50
185,2021,Machine Learning Scientist,MI,FL,"9,54,834.00",PK,PK,M,50
186,2021,Data Engineer,MI,FT,"3,18,278.00",IR,IR,M,100
187,2021,Data Analytics Engineer,SE,FT,"39,78,475.00",VN,GB,M,100
188,2021,Data Science Consultant,EX,FT,"55,49,256.00",FR,ES,S,100
189,2021,Data Engineer,SE,FT,"61,13,563.00",RO,GB,S,50
190,2021,Machine Learning Engineer,MI,FT,"58,88,143.00",JP,JP,S,50
191,2021,Data Science Manager,SE,FT,"1,20,94,564.00",US,FR,L,100
192,2021,Machine Learning Engineer,EN,FT,"17,38,116.00",CO,CO,M,50
193,2021,Big Data Engineer,MI,FT,"14,32,251.00",MD,MD,S,0
194,2021,Data Science Manager,SE,FT,"1,38,45,093.00",US,US,L,100
195,2021,Research Scientist,SE,FT,"76,47,663.00",CA,CA,L,50
196,2021,Data Scientist,MI,FT,"1,16,96,717.00",US,US,L,50
197,2021,BI Data Analyst,EN,FT,"7,37,768.00",KE,KE,S,100
198,2021,Machine Learning Engineer,SE,FT,"19,36,881.00",IN,IN,L,100
199,2021,Data Science Manager,SE,FT,"43,04,233.00",IN,US,L,50
200,2021,Data Science Consultant,EN,FT,"71,61,255.00",US,US,S,100
201,2021,Data Scientist,MI,FT,"48,90,898.00",DE,AT,M,50
202,2021,Machine Learning Infrastructure Engineer,SE,FT,"1,55,16,053.00",US,US,M,100
203,2021,Data Scientist,MI,FT,"30,09,716.00",ES,ES,L,100
204,2021,Research Scientist,SE,FT,"39,78,475.00",FR,US,S,100
205,2021,Data Scientist,MI,FT,"1,27,31,120.00",US,US,L,100
206,2021,Data Scientist,MI,FT,"10,26,526.00",BR,BR,S,0
207,2021,Machine Learning Engineer,SE,FT,"1,59,13,900.00",US,US,L,100
208,2021,Data Engineer,SE,FT,"1,31,28,968.00",US,US,M,0
209,2021,Data Engineer,MI,FL,"15,91,390.00",IT,US,L,0
210,2021,Data Analytics Manager,SE,FT,"95,48,340.00",US,US,L,0
211,2021,Machine Learning Engineer,MI,FT,"19,75,154.00",SI,SI,L,50
212,2021,Research Scientist,MI,FT,"45,14,614.00",FR,FR,S,50
213,2021,Data Engineer,MI,FT,"52,53,338.00",HK,GB,S,50
214,2021,Big Data Engineer,EN,FT,"4,68,028.00",IN,CH,L,0
215,2021,Machine Learning Engineer,EN,FT,"19,75,154.00",DE,DE,M,50
216,2021,Principal Data Engineer,SE,FT,"1,47,20,358.00",US,US,L,100
217,2021,Computer Vision Engineer,EN,PT,"22,76,404.00",DK,DK,S,50
218,2021,Data Scientist,MI,FT,"72,19,659.00",DE,DE,L,50
219,2021,Machine Learning Engineer,MI,FT,"70,54,154.00",BE,BE,M,100
220,2021,Data Analytics Manager,SE,FT,"1,11,39,730.00",US,US,L,100
221,2021,Machine Learning Engineer,MI,FT,"37,07,700.00",PL,PL,L,100
222,2021,Data Scientist,MI,FT,"93,02,789.00",GB,GB,L,50
223,2021,Data Scientist,MI,FT,"26,90,086.00",IN,IN,M,0
224,2021,Data Scientist,MI,FT,"44,76,262.00",GB,GB,L,50
225,2021,Machine Learning Scientist,SE,FT,"1,79,03,138.00",US,CA,L,100
226,2021,Principal Data Scientist,EX,CT,"3,31,00,912.00",US,US,S,100
227,2021,Data Scientist,SE,FT,"69,81,269.00",CA,CA,S,100
228,2021,Data Scientist,MI,FT,"70,54,154.00",DE,DE,L,50
229,2021,Data Scientist,SE,FT,"1,07,41,883.00",US,US,L,0
230,2021,Data Analyst,SE,FT,"57,11,976.00",CA,CA,M,100
231,2021,Big Data Engineer,EN,FT,"12,91,254.00",IN,IN,L,100
232,2021,ML Engineer,SE,FT,"2,03,69,792.00",US,US,S,100
233,2021,Director of Data Engineering,SE,FT,"1,59,13,900.00",US,US,L,100
234,2021,Data Analyst,SE,FT,"1,59,13,900.00",US,US,L,100
235,2021,Data Architect,MI,FT,"1,43,22,510.00",US,US,L,100
236,2021,Head of Data Science,MI,FT,"87,52,645.00",US,US,S,0
237,2021,Research Scientist,MI,FT,"50,77,330.00",CA,CA,M,100
238,2021,Data Scientist,MI,FT,"37,24,569.00",ES,ES,M,100
239,2021,Data Scientist,EN,FT,"3,18,278.00",VN,VN,M,0
240,2021,Data Engineer,EN,FT,"17,21,645.00",IN,IN,M,50
241,2021,Data Scientist,SE,FT,"82,50,641.00",CA,CA,L,100
242,2021,Data Analyst,MI,FT,"63,65,560.00",US,US,L,100
243,2021,Data Engineer,MI,FT,"87,52,645.00",US,US,L,100
244,2021,Data Scientist,SE,FT,"1,31,28,968.00",US,US,L,100
245,2021,AI Scientist,EN,FT,"14,36,468.00",IN,AS,S,100
246,2021,Data Engineer,MI,FT,"57,45,873.00",GB,GB,L,50
247,2021,Data Scientist,EN,FT,"29,15,665.00",FR,FR,L,50
248,2021,Data Engineer,MI,FT,"9,63,030.00",TR,TR,M,0
249,2021,Data Engineer,SE,FT,"76,61,111.00",GB,GB,L,50
250,2021,Principal Data Analyst,SE,FT,"1,35,26,815.00",US,US,M,100
251,2021,Data Scientist,MI,FT,"91,50,493.00",US,US,L,50
252,2021,Data Scientist,EN,FT,"71,61,255.00",US,US,S,100
253,2021,Principal Data Engineer,EX,FT,"4,77,41,700.00",US,US,L,100
254,2021,Data Scientist,EN,FT,"22,59,694.00",IN,IN,M,100
255,2021,Data Analyst,MI,FT,"73,99,964.00",US,US,L,100
256,2021,Big Data Architect,SE,FT,"79,33,318.00",CA,CA,M,50
257,2021,Data Engineer,MI,FT,"1,59,13,900.00",US,US,L,100
258,2021,Principal Data Scientist,SE,FT,"1,38,26,155.00",DE,DE,M,100
259,2021,Machine Learning Engineer,SE,FT,"1,47,20,358.00",US,US,L,50
260,2021,Director of Data Science,EX,FT,"1,12,86,615.00",DE,DE,L,0
261,2021,Data Scientist,MI,FT,"1,03,44,035.00",US,US,L,50
262,2021,Data Analyst,SE,FT,"50,79,001.00",DE,DE,L,50
263,2021,Data Scientist,MI,FT,"13,45,043.00",IN,IN,S,100
264,2021,Machine Learning Engineer,SE,FT,"52,72,673.00",IN,IN,L,0
265,2021,Data Scientist,MI,FT,"20,31,568.00",RS,DE,S,100
266,2021,Lead Data Engineer,SE,FT,"1,27,31,120.00",PR,US,S,50
267,2021,Data Engineer,MI,FT,"74,11,899.00",US,US,M,0
268,2021,Data Engineer,MI,FT,"88,93,881.00",US,US,M,0
269,2021,Data Engineer,MI,FT,"22,29,219.00",TR,TR,M,100
270,2021,Data Engineer,EN,FT,"51,73,052.00",DE,DE,M,50
271,2021,Data Engineer,EN,FT,"57,68,789.00",US,US,L,100
272,2021,Computer Vision Engineer,SE,FT,"15,04,421.00",BR,BR,M,0
273,2021,Data Science Consultant,EN,FT,"61,13,563.00",DE,DE,L,0
274,2021,Machine Learning Engineer,EN,FT,"67,63,408.00",NL,DE,S,100
275,2021,Data Scientist,SE,FT,"61,81,277.00",FR,FR,M,50
276,2021,Data Scientist,EN,FT,"79,56,950.00",US,US,M,100
277,2021,Data Scientist,EN,FT,"46,15,031.00",US,US,L,50
278,2021,AI Scientist,SE,FT,"43,76,323.00",ES,ES,L,100
279,2021,Data Scientist,SE,FT,"16,04,996.00",TR,TR,L,50
280,2021,Business Data Analyst,EN,FT,"47,02,717.00",LU,LU,L,100
281,2021,Data Engineer,MI,FT,"89,11,784.00",US,US,L,100
282,2021,Research Scientist,EN,FT,"79,56,950.00",JE,CN,L,0
283,2021,Data Engineer,MI,PT,"55,49,256.00",NL,NL,L,100
284,2021,Staff Data Scientist,SE,CT,"83,54,798.00",US,US,M,100
285,2021,Research Scientist,MI,FT,"55,69,785.00",CZ,CZ,L,50
286,2021,Data Science Manager,SE,FT,"75,32,447.00",IN,IN,L,50
287,2021,Head of Data,SE,FT,"81,82,848.00",SI,SI,L,100
288,2021,Data Scientist,MI,FT,"86,73,076.00",US,US,L,50
289,2021,Machine Learning Engineer,MI,FT,"40,63,137.00",IT,IT,L,50
290,2022,Data Engineer,SE,FT,"1,07,41,883.00",US,US,M,100
291,2022,Data Analyst,SE,FT,"1,23,33,273.00",US,US,M,100
292,2022,Data Analyst,SE,FT,"95,96,082.00",US,US,M,100
293,2022,Data Scientist,MI,FT,"1,03,44,035.00",US,US,M,0
294,2022,Data Scientist,MI,FT,"71,61,255.00",US,US,M,0
295,2022,Data Engineer,MI,FT,"1,35,26,815.00",US,US,M,100
296,2022,Data Engineer,MI,FT,"1,19,35,425.00",US,US,M,100
297,2022,Data Analyst,SE,FT,"81,24,046.00",US,US,M,100
298,2022,Data Analyst,SE,FT,"67,55,451.00",US,US,M,100
